op,cliente,empresa,status,data_prevista
30119,solutions,sagemcom,em rota,28/10/2025
30120,ctk,multilaser,entregue,10/11/2025
30121,hevi,ceras johnson,producao,22/11/2025
30122,pce,yoki,novo,04/12/2025
30123,solutions,yamaha,producao,16/12/2025
30124,ctk,philips,em rota,28/12/2025
30125,hevi,cx.papel,entregue,09/01/2026
30126,pce,cx.biscoito,avaliacao,21/01/2026
30127,solutions,flextronics,novo,02/02/2026
30128,ctk,lg,producao,14/02/2026
30129,hevi,armor,em rota,26/02/2026
30130,pce,samsung,entregue,09/03/2026
30131,solutions,sagemcom,producao,21/03/2026
30132,ctk,multilaser,novo,02/04/2026
30133,hevi,3m,avaliacao,15/04/2026
30134,pce,yoki,em rota,27/04/2026
30135,solutions,yamaha,entregue,09/05/2026
30136,ctk,philips,producao,21/05/2026
30137,hevi,semp,novo,02/06/2026
30138,pce,cx.papel,producao,15/06/2026
30139,solutions,flextronics,em rota,27/06/2026
30140,ctk,lg,entregue,09/07/2026
30141,hevi,ceras johnson,avaliacao,22/07/2026
38001,pce,cx.biscoito,producao,27/07/2026
38002,hevi,semp, producao,24/07/2026
38003,pce,samsung, entregue,27/07/2026
38004,ctk,lg, em rota,28/07/2026
38005,hevi,cx.papel,avaliacao,29/07/2026
38040,hevi,ceras johnson,producao,29/07/2026
38041,hevi,ceras johnson,producao,29/07/2026
38042,hevi,ceras johnson,novo,29/07/2026
38043,hevi,ceras johnson,novo,29/07/2026
38044,hevi,armor,avaliacao,29/07/2026
38045,hevi,3m,producao,29/07/2026
38046,pce,samsung,entregue,29/07/2026
38047,pce,cx.biscoito,producao,30/07/2026
38048,pce,yoki,em rota,30/07/2026
38049,ctk,lg,em rota,28/07/2026
38050,ctk,multilaser,producao,30/07/2026
38051,ctk,philips,novo,31/07/2026
38052,solutions,sagemcom,novo,29/07/2026
38053,solutions,yamaha,avaliacao,30/07/2026
38054,solutions,flextronics,producao,31/07/2026
38055,hevi,ceras johnson,novo,01/08/2026
38056,pce,cx.biscoito,producao,01/08/2026
38057,ctk,lg,avaliacao,01/08/2026
38058,solutions,sagemcom,producao,01/08/2026
38059,hevi,3m,producao,03/08/2026
38060,pce,samsung,em rota,03/08/2026
38061,ctk,multilaser,novo,03/08/2026
38062,solutions,yamaha,producao,03/08/2026
38063,hevi,armor,em rota,04/08/2026
38064,pce,yoki,entregue,04/08/2026
38065,ctk,philips,producao,04/08/2026
38066,solutions,flextronics,em rota,04/08/2026
38067,hevi,ceras johnson,avaliacao,05/08/2026
38068,pce,cx.papel,novo,05/08/2026
38069,ctk,lg,entregue,05/08/2026
38070,solutions,sagemcom,entregue,05/08/2026
38071,hevi,semp,producao,18/08/2026
38072,pce,cx.biscoito,em rota,29/08/2026
38073,solutions,yamaha,novo,10/09/2026
38074,ctk,philips,producao,22/09/2026
38075,hevi,3m,em rota,05/10/2026
38076,pce,samsung,avaliacao,18/10/2026
38077,solutions,flextronics,producao,30/10/2026
38078,ctk,multilaser,novo,12/11/2026
38079,hevi,cx.papel,em rota,25/11/2026
38080,pce,yoki,entregue,08/12/2026
38081,solutions,sagemcom,producao,20/12/2026
